Название вакансии,Компания,Зарплата,Ссылка
QA Automation Engineer (Java),QA Automation Engineer (Java),,https://tomsk.hh.ru/vacancy/126700684?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Embedded разработчик (SDR / DSP),Embedded разработчик (SDR / DSP),,https://tomsk.hh.ru/vacancy/126616678?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,,https://tomsk.hh.ru/vacancy/126514133?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
React разработчик (middle+),React разработчик (middle+),,https://tomsk.hh.ru/vacancy/126597525?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Технический писатель,Технический писатель,,https://tomsk.hh.ru/vacancy/125649595?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий программист 1С,Ведущий программист 1С,,https://tomsk.hh.ru/vacancy/117885726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
DevOps-инженер,DevOps-инженер,,https://tomsk.hh.ru/vacancy/126614466?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по интеграции прикладных решений (DevOps),Специалист по интеграции прикладных решений (DevOps),,https://tomsk.hh.ru/vacancy/126633672?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Vue.js Developer Team Lead,Frontend Vue.js Developer Team Lead,,https://tomsk.hh.ru/vacancy/126002792?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Node.js Developer Senior,Backend Node.js Developer Senior,,https://tomsk.hh.ru/vacancy/125457001?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
